2019-06-30 19:55:02,393,2019-06-30_17_55_02,INFO,<class 'problems.network.Network'>,320631712,algorithms.genetic_algorithm,20,tournament_selection,one_point_crossover,0.4,bit_flip,0.6
2019-06-30 19:59:28,285,2019-06-30_17_55_02,INFO,25,1101.176715408271,176212004.89549518,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:59:36,159,2019-06-30_17_55_02,INFO,26,1101.176715408271,461854452.43540305,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:59:41,224,2019-06-30_17_55_02,INFO,27,1101.176715408271,176212154.47942597,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:59:50,452,2019-06-30_17_55_02,INFO,28,1101.176715408271,390960261.1399929,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 20:00:05,874,2019-06-30_17_55_02,INFO,29,1101.176715408271,600326312.7595291,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
